Grasp65,FBgn0036919,Grasp65-PA-1216,0,5,0,0
heph,FBgn0011224,heph-PA-990,34,33,62,77
pex1,FBgn0013563,pex1-PA-1618,1,4,5,0
CG9663,FBgn0031516,CG9663-PA-2316,6,2,1,4
ligatin,FBgn0041588,ligatin-PA-174,1,3,8,6
sowah,FBgn0036302,sowah-PD-45,0,1,3,9
vimar,FBgn0022960,vimar-PB-509,0,1,0,0
CG31716,FBgn0051716,CG31716-PA-3120,155,129,102,99
Mtor,FBgn0013756,Mtor-PA-1525,3,1,1,0
CG13889,FBgn0035168,CG13889-PA-5596,0,0,1,0
mts,FBgn0004177,mts-PA-582,129,148,177,156
CG8611,FBgn0027602,CG8611-PA-2550,86,99,155,156
CG7433,FBgn0036927,CG7433-PA-616,2,2,3,4
Mdr49,FBgn0004512,Mdr49-PA-2689,0,0,9,15
CG8552,FBgn0031990,CG8552-PA-4647,2,2,0,0
CG11307,FBgn0037106,CG11307-PA-927,0,0,2,3
Chro,FBgn0044324,Chro-PA-2497,0,3,0,0
CG6108,FBgn0032498,CG6108-PA-2096,0,1,2,1
D19B,FBgn0022699,D19B-PA-1130,2,2,1,3
Sap-r,FBgn0000416,Sap-r-PA-627,3,5,0,0
Pepck,FBgn0003067,Pepck-PA-1776,49,67,97,69
ns3,FBgn0028274,ns3-PA-300,1,0,0,0
CG10631,FBgn0032817,CG10631-PA-9688,0,2,0,0
CG9018,FBgn0035318,CG9018-PB-1002,101,105,104,123
klar,FBgn0001316,klar-PA-5715,106,108,369,309
CG3338,FBgn0031598,CG3338-PA-1377,17,24,19,17
poe,FBgn0011230,poe-PA-11861,1,2,0,0
CG5800,FBgn0030855,CG5800-PA-1318,0,0,1,2
CG30069,FBgn0050069,CG30069-PA-11836,52,68,95,97
CG32428,FBgn0052428,CG32428-PA-551,0,0,1,0
CG13585,FBgn0035020,CG13585-PA-207,105,82,67,74
PPP4R2r,FBgn0030208,PPP4R2r-PA-1168,82,93,121,138
CG30007,FBgn0050007,CG30007-PB-2151,0,0,5,0
CG10011,FBgn0039590,CG10011-PA-1595,0,0,0,1
MCPH1,FBgn0260959,MCPH1-PA-2323,0,1,0,1
Vps26,FBgn0014411,Vps26-PA-901,156,128,247,223
poe,FBgn0011230,poe-PA-15481,2,0,1,1
Pgd,FBgn0004654,Pgd-PA-1011,31,23,44,48
gfzf,FBgn0250732,gfzf-PB-2433,0,2,0,0
Pgd,FBgn0004654,Pgd-PA-1017,47,46,57,69
blos1,FBgn0050077,blos1-PB-312,74,82,31,54
Keap1,FBgn0038475,Keap1-PA-1224,0,0,3,3
Karybeta3,FBgn0087013,Karybeta3-PA-2999,101,99,135,167
CG11703,FBgn0038690,CG11703-PA-339,0,0,0,1
CG31547,FBgn0051547,CG31547-PA-2752,0,3,0,0
CG17082,FBgn0039994,CG17082-PA-1312,200,163,188,152
RhoGEF2,FBgn0023172,RhoGEF2-PD-6640,2,4,3,11
CG10889,FBgn0038769,CG10889-PA-1523,2,1,1,0
Nha1,FBgn0031865,Nha1-PA-1659,0,1,2,0
CG15626,FBgn0031635,CG15626-PA-351,0,1,0,0
para,FBgn0260993,para-PAD-4110,0,0,0,1
CG10809,FBgn0036052,CG10809-PA-924,17,21,21,19
chas,FBgn0263258,chas-PA-1333,0,0,3,1
Rbcn-3A,FBgn0023458,Rbcn-3A-PB-10129,46,42,65,107
slpr,FBgn0030018,slpr-PA-3312,31,61,118,90
Elp2,FBgn0033540,Elp2-PA-1996,8,3,6,5
Rbcn-3A,FBgn0023458,Rbcn-3A-PB-10123,32,30,27,23
CG42724,FBgn0261641,CG42724-PC-391,0,0,1,7
pod1,FBgn0029903,pod1-PA-2082,1,0,7,4
