heph,heph-PA-990,33
pex1,pex1-PA-1618,4
CG9663,CG9663-PA-2316,2
ligatin,ligatin-PA-174,3
sowah,sowah-PD-45,1
vimar,vimar-PB-509,1
CG31716,CG31716-PA-3120,129
Mtor,Mtor-PA-1525,1
mts,mts-PA-582,148
CG8611,CG8611-PA-2550,99
CG7433,CG7433-PA-616,2
CG8552,CG8552-PA-4647,2
Chro,Chro-PA-2497,3
CG6108,CG6108-PA-2096,1
D19B,D19B-PA-1130,2
Sap-r,Sap-r-PA-627,5
Pepck,Pepck-PA-1776,67
CG10631,CG10631-PA-9688,2
CG9018,CG9018-PB-1002,105
CG7607,CG7607-PA-267,1
CG3338,CG3338-PA-1377,24
poe,poe-PA-11861,2
CG10590,CG10590-PA-919,4
CG13585,CG13585-PA-207,82
PPP4R2r,PPP4R2r-PA-1168,93
MCPH1,MCPH1-PA-2323,1
Vps26,Vps26-PA-901,128
CG42233,CG42233-PB-2299,3
Pgd,Pgd-PA-1011,23
gfzf,gfzf-PB-2433,2
Pgd,Pgd-PA-1017,46
blos1,blos1-PB-312,82
Karybeta3,Karybeta3-PA-2999,99
CG31547,CG31547-PA-2752,3
CG17082,CG17082-PA-1312,163
RhoGEF2,RhoGEF2-PD-6640,4
CG10889,CG10889-PA-1523,1
Nha1,Nha1-PA-1659,1
CG15626,CG15626-PA-351,1
CG10809,CG10809-PA-924,21
Rbcn-3A,Rbcn-3A-PB-10129,42
slpr,slpr-PA-3312,61
Elp2,Elp2-PA-1996,3
Rbcn-3A,Rbcn-3A-PB-10123,30
CG18327,CG18327-PA-324,9
arm,arm-PA-1734,3
SdhA,SdhA-PA-1152,1
l(2)k14505,l(2)k14505-PA-736,123
jbug,jbug-PC-424,28
Prp8,Prp8-PA-2249,5
CG15523,CG15523-PA-6365,1
Wsck,Wsck-PA-1839,1
Drip,Drip-PA-55,7
CG4766,CG4766-PA-669,3
D19B,D19B-PA-1794,39
CG8108,CG8108-PA-2087,1
BCL7-like,BCL7-like-PA-123,4
Rrp6,Rrp6-PB-1551,27
Sip1,Sip1-PA-501,118
CG17724,CG17724-PA-351,1
Art9,Art9-PA-736,1
pck,pck-PA-330,7
mor,mor-PA-1413,10
Syx1A,Syx1A-PA-715,4
Pros26,Pros26-PA-273,120
CG3726,CG3726-PA-1189,7
Ddx1,Ddx1-PA-1996,1
bsk,bsk-PB-591,93
l(3)neo18,l(3)neo18-PA-121,501
bsh,bsh-PB-43,1
CG12264,CG12264-PA-753,1
IntS12,IntS12-PA-627,9
CG15880,CG15880-PA-609,3
HLHm3,HLHm3-PA-142,7
mop,mop-PA-4947,2
Strn-Mlck,Strn-Mlck-PB-2175,6
CG15431,CG15431-PA-660,1
scaf6,scaf6-PA-2382,108
CG12259,CG12259-PA-943,80
Dys,Dys-PA-9462,2
CG11122,CG11122-PA-3253,1
CG30414,CG30414-PA-719,3
CG12432,CG12432-PA-547,1
SA,SA-PA-1264,2
CG3045,CG3045-PA-1362,27
CDase,CDase-PA-1638,8
CG10321,CG10321-PA-2279,1
Srp9,Srp9-PA-165,4
CG8801,CG8801-PA-1594,6
CG32795,CG32795-PA-942,46
CG13204,CG13204-PA-1518,23
car,car-PA-1275,1
CG31731,CG31731-PA-3785,1
bun,bun-PA-2596,1
Capr,Capr-PA-1268,5
CG9362,CG9362-PA-217,13
Skeletor,Skeletor-PD-1626,21
mbl,mbl-PH-2289,3
PTP-ER,PTP-ER-PA-1890,2
drl,drl-PA-1735,6
Dref,Dref-PA-783,11
CG3590,CG3590-PA-1234,100
CG1815,CG1815-PA-1668,3
MED22,MED22-PA-364,2
CG3016,CG3016-PA-996,10
CG8950,CG8950-PA-2190,2
Ranbp9,Ranbp9-PA-2103,5
vls,vls-PA-1069,163
CG3281,CG3281-PA-1101,18
Cka,Cka-PA-2131,99
14-3-3zeta,14-3-3zeta-PA-643,138
CG3493,CG3493-PA-3348,2
Pif1A,Pif1A-PC-692,2
CG7488,CG7488-PA-344,18
CG1486,CG1486-PA-2001,2
CHES-1-like,CHES-1-like-PA-2638,1
Gp150,Gp150-PA-1029,5
CG5746,CG5746-PA-124,137
Top2,Top2-PA-1554,5
mod(mdg4),mod(mdg4)-PP-1338,136
CG12121,CG12121-PA-1299,10
ASPP,ASPP-PA-1683,29
CG2931,CG2931-PA-765,29
beat-Vb,beat-Vb-PA-382,1
CG10672,CG10672-PA-382,13
CG12262,CG12262-PA-1230,66
CG15432,CG15432-PA-249,68
Rpn2,Rpn2-PA-2334,19
CG31469,CG31469-PA-252,3
Psc,Psc-PA-2527,2
CG42574,CG42574-PA-9103,3
CG8321,CG8321-PA-600,13
pll,pll-PA-1378,2
CG4729,CG4729-PA-1086,30
fry,fry-PB-9289,5
Hexo2,Hexo2-PA-1457,2
Ptpa,Ptpa-PA-798,3
lsn,lsn-PA-517,27
Aats-asp,Aats-asp-PA-1543,4
dah,dah-PA-1545,1
Hrb27C,Hrb27C-PA-364,3
CG6750,CG6750-PA-606,9
Klp67A,Klp67A-PA-747,9
Kmn1,Kmn1-PA-298,3
Pitslre,Pitslre-PA-2388,79
Msr-110,Msr-110-PA-1008,2
eIF3-S9,eIF3-S9-PA-1147,4
fs(1)h,fs(1)h-PB-3979,1
CG42271,CG42271-PC-3132,1
Aats-ser,Aats-ser-PA-393,4
Got2,Got2-PA-822,4
CG2118,CG2118-PA-576,106
Vap-33-1,Vap-33-1-PA-294,37
uif,uif-PA-7872,1
CG31301,CG31301-PA-225,1
CG10286,CG10286-PA-1344,4
hth,hth-PA-1311,13
CG13531,CG13531-PB-3336,7
CG3702,CG3702-PA-1527,45
CG6443,CG6443-PA-534,22
Timp,Timp-PB-90,2
Oda,Oda-PA-429,9
GlyP,GlyP-PA-1686,38
CG11436,CG11436-PA-779,2
CG33687,CG33687-PA-440,21
CG15011,CG15011-PA-1217,2
Top3beta,Top3beta-PA-1293,4
CG9117,CG9117-PA-616,14
CG4390,CG4390-PA-87,22
CG2144,CG2144-PA-2613,3
CG9588,CG9588-PA-508,3
bif,bif-PB-3345,739
Fas2,Fas2-PA-1543,77
mys,mys-PA-882,1
Syx13,Syx13-PA-141,3
CG12163,CG12163-PA-1539,528
CG6357,CG6357-PA-1025,17
Nap1,Nap1-PA-91,37
CG6254,CG6254-PA-759,2
mus205,mus205-PA-5859,5
CG31871,CG31871-PA-1509,1
CG7956,CG7956-PA-2587,4
YT521-B,YT521-B-PA-1581,9
CG9883,CG9883-PA-291,1
CG10959,CG10959-PA-460,6
CG17211,CG17211-PA-678,1
Aldh-III,Aldh-III-PE-990,58
Hmgs,Hmgs-PA-1267,24
CG32022,CG32022-PA-306,4
rtet,rtet-PA-1185,60
spd-2,spd-2-PA-592,1
CG12581,CG12581-PA-1925,1
nesd,nesd-PA-1291,1
CG1358,CG1358-PA-280,1
CG1785,CG1785-PA-805,2
l(3)neo38,l(3)neo38-PB-134,1
IntS2,IntS2-PA-2841,3
fdl,fdl-PB-1428,1
vn,vn-PA-1239,2
CG8494,CG8494-PA-2039,22
CG7766,CG7766-PA-3663,29
alpha-Spec,alpha-Spec-PA-6241,3
CG7896,CG7896-PA-3798,17
l(1)G0320,l(1)G0320-PA-357,18
Wnt4,Wnt4-PA-555,2
alpha-Man-II,alpha-Man-II-PA-1453,1
fsd,fsd-PA-210,1
Msp-300,Msp-300-PE-1137,1
Syx13,Syx13-PA-394,4
Best1,Best1-PA-1512,15
CG13605,CG13605-PB-1387,1
ppan,ppan-PA-834,12
CG8468,CG8468-PA-1479,4
CG12818,CG12818-PA-702,23
Hr78,Hr78-PA-1026,4
PDCD-5,PDCD-5-PA-240,52
CG7706,CG7706-PA-1329,2
CG7706,CG7706-PA-1323,1
CG18324,CG18324-PB-139,18
Nmt,Nmt-PA-885,1
CG14416,CG14416-PA-349,130
Vinc,Vinc-PA-2359,20
CG11137,CG11137-PA-213,2
PCID2,PCID2-PA-1011,13
Ripalpha,Ripalpha-PA-35,2
eIF-3p40,eIF-3p40-PA-272,7
Gfat2,Gfat2-PA-1681,3
Obp59a,Obp59a-PB-527,1
Alk,Alk-PA-2953,1
CG4670,CG4670-PA-666,8
Roc2,Roc2-PA-247,7
Cpsf160,Cpsf160-PA-2295,3
CG10081,CG10081-PA-788,2
Nnp-1,Nnp-1-PA-1873,4
Os-C,Os-C-PB-12,1
ImpL2,ImpL2-PA-19,246
viaf,viaf-PA-423,1113
Pde9,Pde9-PB-1578,11
lva,lva-PC-3862,1
mRpL48,mRpL48-PA-513,101
CG5514,CG5514-PA-969,4
RnrS,RnrS-PA-1108,5
CG15609,CG15609-PB-1967,1
CG17760,CG17760-PB-898,2
CG10068,CG10068-PA-681,10
CG3107,CG3107-PA-1897,27
Hsc70-2,Hsc70-2-PA-1629,2
CG4266,CG4266-PA-2623,2
lin,lin-PA-2427,153
CG17233,CG17233-PC-1458,2
sls,sls-PE-55178,1
CG4030,CG4030-PA-1734,155
CG42732,CG42732-PD-821,1
IntS4,IntS4-PA-1578,3
CG32251,CG32251-PA-2516,5
CG11374,CG11374-PC-853,1
CG9619,CG9619-PA-289,2
CG2906,CG2906-PD-1069,1
CG9870,CG9870-PA-814,8
lva,lva-PC-7163,2
CG7852,CG7852-PA-2193,7
Mcm3,Mcm3-PA-1300,2
CG31638,CG31638-PA-1071,14
CG34401,CG34401-PA-150,1
Aats-tyr,Aats-tyr-PA-636,75
tun,tun-PA-519,2
eIF2B-alpha,eIF2B-alpha-PA-97,1
jar,jar-PB-2133,3
Tsp5D,Tsp5D-PA-171,2
CG7564,CG7564-PA-394,7
CG4332,CG4332-PA-1503,78
mRpL17,mRpL17-PA-203,1
cora,cora-PA-4198,1
Nrt,Nrt-PA-2373,87
CG4041,CG4041-PB-2209,107
CG1738,CG1738-PA-163,1
CG16833,CG16833-PD-2650,366
rdo,rdo-PA-1308,13
CG3492,CG3492-PA-1125,460
LpR2,LpR2-PA-1679,1
CG2249,CG2249-PA-47,14
Trip1,Trip1-PA-726,6
CG9305,CG9305-PA-1989,162
CG6770,CG6770-PA-29,1
CG9961,CG9961-PA-1023,1
rho-7,rho-7-PA-6,2
CG18476,CG18476-PA-970,1
CG8368,CG8368-PA-903,1
CG3680,CG3680-PA-460,4
Dp1,Dp1-PA-1212,5
cwo,cwo-PA-537,3
CG30183,CG30183-PA-4123,1
CG1172,CG1172-PA-4,1
CG42672,CG42672-PD-3024,2
CG5548,CG5548-PA-288,73
WRNexo,WRNexo-PA-457,3
CG5604,CG5604-PA-8130,561
JhI-1,JhI-1-PB-1282,15
msl-1,msl-1-PA-2916,15
CD98hc,CD98hc-PA-1612,903
Wnt5,Wnt5-PA-1443,2
CG6659,CG6659-PA-2260,11
twf,twf-PA-364,2
Pcmt,Pcmt-PA-402,9
alpha4GT1,alpha4GT1-PA-867,41
CG6607,CG6607-PA-606,26
CG14220,CG14220-PA-333,2
Clp,Clp-PA-754,44
RpL19,RpL19-PA-414,2638
Cap-G,Cap-G-PF-4003,9
CG13025,CG13025-PA-1434,2
l(2)37Bb,l(2)37Bb-PA-1518,48
ko,ko-PA-3030,228
CG42512,CG42512-PA-230,7
d,d-PA-2271,1
crol,crol-PA-1051,1
CG10470,CG10470-PA-444,125
l(2)35Be,l(2)35Be-PA-582,121
esn,esn-PA-1171,1
Obp99b,Obp99b-PA-396,1
Rpb4,Rpb4-PF-105,32
T48,T48-PA-588,7
CG12272,CG12272-PA-3381,45
EloA,EloA-PA-397,3
Def,Def-PA-161,10
CG5591,CG5591-PA-4057,1
mRNA-cap,mRNA-cap-PA-1900,90
CG4877,CG4877-PA-2857,1
E2f,E2f-PA-1959,25
CG11055,CG11055-PA-2059,18
Pros45,Pros45-PA-684,13
Gadd45,Gadd45-PA-75,12
neo,neo-PA-1506,2
CG43164,CG43164-PC-904,60
CG34406,CG34406-PA-472,10
CG9172,CG9172-PA-594,3327
CycT,CycT-PA-1492,2
CG15523,CG15523-PA-10851,13
CG31919,CG31919-PB-916,2
Lis-1,Lis-1-PA-1012,29
Cad87A,Cad87A-PA-5802,1503
Ror,Ror-PA-1453,1
mRpL32,mRpL32-PA-109,19
CG11943,CG11943-PA-3173,1
Pfk,Pfk-PA-1437,3
CG8939,CG8939-PA-1047,151
malpha,malpha-PA-384,117
EfTuM,EfTuM-PA-1246,4
mfrn,mfrn-PA-721,1
CG6055,CG6055-PA-109,6
Uch,Uch-PA-430,104
Ncc69,Ncc69-PA-2178,1
CG16786,CG16786-PA-1907,5
CG17664,CG17664-PA-675,1
dom,dom-PA-4396,4
ena,ena-PA-1863,74
CG31728,CG31728-PC-631,18
CG3071,CG3071-PA-891,1
CG9281,CG9281-PB-981,2
CG3803,CG3803-PA-852,34
Met,Met-PA-1716,4
CG6043,CG6043-PC-1928,19
CG10005,CG10005-PA-312,6
CG33695,CG33695-PA-793,2
Spn1,Spn1-PB-1024,4
exo70,exo70-PA-94,3
NK7.1,NK7.1-PA-321,7
CG3907,CG3907-PA-1051,4
CG5167,CG5167-PA-1005,22
Trax,Trax-PA-109,1809
RhoGAP92B,RhoGAP92B-PA-1221,38
ATPsyn-b,ATPsyn-b-PA-612,1236
pigeon,pigeon-PA-2030,1
Dhc93AB,Dhc93AB-PB-13275,2
CG8243,CG8243-PA-1198,8
CG42807,CG42807-PA-81,25
LpR1,LpR1-PD-2448,5
Actn,Actn-PA-1629,1
CG11961,CG11961-PA-2355,271
