gene,fbgn,gene_transcript_start,fc3.count.ore,fc3.count.sam,fc4.count.ore,fc4.count.sam,fc5.count.ore,fc5.count.sam,fc6.count.ore,fc6.count.sam,nll.null,nll.A,nll.B,p.1,p.2,p.3,q.1,q.2,q.3
CG15925,FBgn0034129,CG15925-PA-319,0,0,1,0,0,0,0,0,0.693147180559945,0,NA,0.239031891449512,NA,NA,0.0787863981138604,NA,NA
mei-41,FBgn0004367,mei-41-PA-1264,0,0,0,0,0,0,1,0,0.693147180559945,0,NA,0.239031891449512,NA,NA,0.0787863981138604,NA,NA
Cdc27,FBgn0012058,Cdc27-PA-1823,9,16,6,12,10,18,5,22,15.8807756692332,8.31671948223466,7.98887165443815,0.000100456176553003,0.418083664216314,0.000373757257721521,0.000258191241927707,0.711022822230966,0.000221340338604434
CG33145,FBgn0053145,CG33145-PB-1299,1,0,0,3,0,2,0,2,5.54517744447956,3.01416129005149,2.24934057847523,0.0244555437246511,0.216166268706961,0.037037037037037,0.0207189826870855,0.453448116641919,0.0097056364068318
caup,FBgn0015919,caup-PA-2020,0,0,25,22,48,61,52,37,9.3224167575974,9.27139280723575,9.21650577418838,0.749385777599722,0.740401505048626,0.899504715355541,0.211281268650295,1,0.130070440738301
GstE1,FBgn0034335,GstE1-PA-211,167,27,0,0,231,37,229,25,236.378168876284,8.87766925618374,8.61267223763089,5.88535911895288e-101,0.466609366418616,1.20976674434559e-99,4.48752191156382e-99,0.770787571385119,2.72242656461355e-98
Aats-ala,FBgn0027094,Aats-ala-PA-2650,1,0,0,0,0,0,0,0,0.693147180559945,0,NA,0.239031891449512,NA,NA,0.0787863981138604,NA,NA
SPE,FBgn0039102,SPE-PA-836,0,0,0,0,0,1,0,0,0.693147180559945,0,NA,0.239031891449512,NA,NA,0.0787863981138604,NA,NA
stl,FBgn0086408,stl-PA-658,0,0,0,0,0,1,0,0,0.693147180559945,0,NA,0.239031891449512,NA,NA,0.0787863981138604,NA,NA
CG32085,FBgn0052085,CG32085-PA-1804,0,0,0,0,0,0,0,1,0.693147180559945,0,NA,0.239031891449512,NA,NA,0.0787863981138604,NA,NA
