gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q,logConc,logFC
Sgs5,FBgn0003375,Sgs5-PA-52,240,223,5,5,2.49806247076362e-129,1.47530573398358e-124,-16.569849964968,-5.78563206874467
Pcf11,FBgn0022063,Pcf11-PD-4791,443,450,1579,1643,2.13149417324924e-118,6.29408914418768e-114,-11.9298549406548,1.59946881219473
RpL27A,FBgn0261606,RpL27A-PA-174,13802,14734,36666,34003,7.52578318141177e-111,1.48152567709272e-106,-7.20418218562884,1.05576071703655
CkIalpha,FBgn0015024,CkIalpha-PA-780,479,553,1782,1603,6.88982092213235e-105,1.01724761004823e-100,-11.7908861564174,1.46125401767284
CG34202,FBgn0085231,CG34202-PA-448,189,203,909,789,3.80226952244048e-101,4.4910886691258e-97,-12.986622272434,1.86192905565463
Rpn12,FBgn0028693,Rpn12-PA-453,847,924,2309,2353,3.60560174194465e-80,3.54899379459612e-76,-11.1697195249635,1.14494902837911
MESR6,FBgn0036846,MESR6-PA-545,607,672,1739,1795,1.05779710532262e-78,8.92448306373478e-75,-11.6042990719179,1.21494796518059
CG5525,FBgn0032444,CG5525-PA-1122,117,119,499,510,2.26246456227543e-68,1.67020790148578e-64,-13.7275586674449,1.84396630897571
w,FBgn0003996,w-PA-1416,142,125,0,0,1.58886103465093e-67,1.04261061093794e-63,-32.2432307154993,-35.5456470566291
granny-smith,FBgn0040493,granny-smith-PB-1051,126,148,533,474,4.81426153011071e-57,2.84320657445278e-53,-13.6217656861657,1.62527838421438
CG12608,FBgn0030630,CG12608-PA-778,0,3,142,156,1.07617255065344e-56,5.77787259059006e-53,-17.756002901258,6.38303893405532
RpL36,FBgn0002579,RpL36-PA-201,9890,10524,21050,19646,3.88480244176588e-55,1.91190552171508e-51,-7.84381380861279,0.742842019021416
Hsp27,FBgn0001226,Hsp27-PA-190,10186,10688,20578,20912,9.50722581202202e-55,4.31905955389536e-51,-7.81310690155947,0.73958010159611
blw,FBgn0011211,blw-PA-118,49,42,268,266,3.11700383969228e-54,1.31488580546105e-50,-14.8740494646595,2.30050511602652
CG16885,FBgn0032538,CG16885-PA-577,30,34,234,220,4.66138513083918e-54,1.835280553714e-50,-15.245183459446,2.57415634181514
CG11454,FBgn0031224,CG11454-PA-657,19,15,181,180,5.14529150053025e-54,1.89919140898947e-50,-15.8666766869301,3.1560293448284
RpL4,FBgn0003279,RpL4-PA-594,873,942,2165,1971,1.79406375857838e-53,6.23257749730129e-50,-11.2389094108484,0.935612299255554
CG8545,FBgn0033741,CG8545-PA-1878,179,198,597,604,7.2667152112391e-53,2.38420926080755e-49,-13.2641138460008,1.4196580149556
Sgs4,FBgn0003374,Sgs4-PB-518,90,128,1,0,2.55491192822249e-50,7.94147308720862e-47,-18.7756520940757,-8.01821097620089
Nf-YC,FBgn0029905,Nf-YC-PA-1767,178,188,559,571,2.76368203114525e-48,8.16087666976881e-45,-13.3293560718061,1.37439595484757
CG4169,FBgn0250814,CG4169-PA-317,4504,4611,8850,8855,2.87185130541026e-46,8.07646639975804e-43,-9.02507818026065,0.705803123333642
CG8036,FBgn0037607,CG8036-PB-652,1204,1165,2516,2427,4.59767384840699e-44,1.23422464608736e-40,-10.9174682082403,0.808188665819583
ndl,FBgn0002926,ndl-PA-5158,1258,1201,827,743,1.22842380643603e-43,3.15427187654343e-40,-11.7180631385979,-0.900829035281699
Uba2,FBgn0029113,Uba2-PA-1970,1495,1504,979,997,2.07316409668945e-43,5.10153855092857e-40,-11.4087190611048,-0.85415217022075
CG6523,FBgn0032509,CG6523-PA-198,1683,1724,1178,1139,1.71429231342669e-41,4.04970701785413e-38,-11.2021364933574,-0.808720867212147
CG11590,FBgn0030545,CG11590-PA-350,310,321,138,129,2.67583637612707e-41,6.07805941158894e-38,-13.9773256910628,-1.49324312113198
SA,FBgn0020616,SA-PA-3319,336,350,145,158,3.42180740890638e-41,7.48463340574789e-38,-13.8256666080695,-1.43101981380311
Mgat1,FBgn0034521,Mgat1-PA-292,40,62,244,236,4.80438646393634e-41,1.01334805638269e-37,-14.868882000825,1.98239460515652
CG30069,FBgn0050069,CG30069-PA-11830,816,846,1819,1701,1.96342886064571e-40,3.99848902248325e-37,-11.4184835521262,0.83000048816613
