symbol	fbgn
sd	FBgn0003345
Dll	FBgn0000157
al	FBgn0000061
wupA	FBgn0004028
Wnt2	FBgn0004360
ac	FBgn0000022
sens	FBgn0002573
h	FBgn0001168
ara	FBgn0015904
pav	FBgn0011692
Adar	FBgn0026086
wb	FBgn0004002
CG7675	FBgn0038610
gk	FBgn0020300
Doc2	FBgn0035956
CG16733	FBgn0037665
ds	FBgn0000497
Mhc	FBgn0086783
fu	FBgn0001079
sc	FBgn0004170
CG5023	FBgn0038774
br	FBgn0000210
Doc1	FBgn0028789
CG9522	FBgn0030587
HLHm7	FBgn0002633
CG32029	FBgn0052029
shf	FBgn0003390
NetA	FBgn0015773
fj	FBgn0000658
CG17657	FBgn0086698
rpk	FBgn0022981
asp	FBgn0000140
Mad	FBgn0011648
if	FBgn0001250
CG33970	FBgn0053970
Act57B	FBgn0000044
tkv	FBgn0003716
ex	FBgn0004583
stg	FBgn0003525
sog	FBgn0003463
CG4382	FBgn0032132
CG1342	FBgn0039795
CG1698	FBgn0033443
Wnt4	FBgn0010453
Blimp-1	FBgn0035625
CG15905	FBgn0034462
Tollo	FBgn0029114
Glut1	FBgn0025593
dap	FBgn0010316
disp	FBgn0029088
CG9427	FBgn0037721
CG33115	FBgn0028542
CG1869	FBgn0035398
betaTub85D	FBgn0003889
rpr	FBgn0011706
argos	FBgn0004569
CG4766	FBgn0027546
Ect3	FBgn0037977
Pvf1	FBgn0030964
nab	FBgn0053545
CG8789	FBgn0036896
fz3	FBgn0027343
CG8502	FBgn0033725
CG12340	FBgn0027499
Nxt1	FBgn0028411
Obp19b	FBgn0031110
vri	FBgn0016076
CycD	FBgn0010315
Mcm5	FBgn0017577
MRP	FBgn0032456
vkg	FBgn0016075
gro	FBgn0001139
hyd	FBgn0002431
CG4914	FBgn0036436
wts	FBgn0011739
cno	FBgn0000340
CG18231	FBgn0036796
CG7713	FBgn0038545
CG10376	FBgn0032702
InR	FBgn0013984
Dr	FBgn0000492
pk	FBgn0003090
in	FBgn0001259
ImpE3	FBgn0001255
CG4502	FBgn0031896
CG11755	FBgn0037611
Cdk4	FBgn0016131
Set	FBgn0014879
arr	FBgn0000119
CG16996	FBgn0032412
brk	FBgn0024250
Traf2	FBgn0026318
Dp	FBgn0011763
eIF6	FBgn0034915
msk	FBgn0026252
galectin	FBgn0031213
CSN5	FBgn0027053
Spt-I	FBgn0086532
Wnt6	FBgn0031902
Nep2	FBgn0027570
tok	FBgn0004885
caup	FBgn0015919
E(spl)	FBgn0000591
Sb	FBgn0003319
Mgstl	FBgn0025814
Rbp1-like	FBgn0030479
yellow-e2	FBgn0038151
Doc3	FBgn0035954
nmo	FBgn0011817
tsh	FBgn0003866
Rho1	FBgn0014020
peb	FBgn0003053
tld	FBgn0003719
Ocho	FBgn0040296
CG10625	FBgn0035612
psq	FBgn0004399
Axn	FBgn0026597
vg	FBgn0003975
Mcm6	FBgn0025815
CG8152	FBgn0034008
CG15618	FBgn0031077
trr	FBgn0023518
bi	FBgn0000179
CG8939	FBgn0030720
shg	FBgn0003391
gom	FBgn0029084
m2	FBgn0002592
Lsd-2	FBgn0030608
gbb	FBgn0024234
CG14211	FBgn0031044
Nrt	FBgn0004108
CG9008	FBgn0028540
shi	FBgn0003392
crb	FBgn0086905
CG5966	FBgn0029831
sna	FBgn0003448
Sac1	FBgn0035195
esg	FBgn0001981
Spn27A	FBgn0028990
CG4778	FBgn0027600
rho	FBgn0004635
Hrs	FBgn0031450
CG6044	FBgn0034725
ap	FBgn0000099
Tob	FBgn0028397
pip	FBgn0003089
Dref	FBgn0015664
not	FBgn0013717
Orct2	FBgn0086365
p53	FBgn0039044
exd	FBgn0000611
