"","intercept","genotype.wt.effect","genotype.wt.t","genotype.wt.p","background.sam.effect","background.sam.t","background.sam.p","interaction.wt.sam.effect","interaction.wt.sam.t","interaction.wt.sam.p","fbgn","genotype.wt.q","background.sam.q","interaction.wt.sam.q"
"2",-2.39340746580481,0.136732033079719,0.717124117493635,0.487022204603263,0.0389635343801442,0.204353651280114,0.84150203844842,0.160577887140293,0.595517870454505,0.562560626386303,"FBgn0000153",0.490330951276046,0.444780007440787,0.772067236782657
"3",2.14690382896108,0.228004177881671,1.50828981382,0.157349531537839,-0.0811129823833784,-0.536577383072795,0.601365876619517,-0.505903548566681,-2.36643576818228,0.0356317669668747,"FBgn0000635",0.440300612542643,0.378933490317579,0.324217369669116
"10",-1.99338927441583,0.146269904201489,1.89976828991949,0.081757053112679,0.24295810695515,3.155564433381,0.00828883806652896,-0.0244413311779171,-0.224468557301421,0.826169316676172,"FBgn0004957",0.382751036871226,0.0238986997332428,0.821758961477134
"20",3.90125688223965,0.0339787267197215,0.349462746482826,0.732797985303462,0.134705888607636,1.38541653395481,0.191136399649201,-0.202122803006486,-1.46992135611272,0.167309305669533,"FBgn0002031",0.560533002949702,0.196558411365481,0.516601026004015
"21",0.575047935591629,0.0772159646844241,0.852678160668208,0.410533923568999,0.211385028619872,2.33427631362284,0.037776124214888,-0.243856473095505,-1.90413321408594,0.0811417368733198,"FBgn0003042",0.46734707155973,0.0679607219159003,0.431954646758701
"23",0.404184682188012,0.18025842572551,0.69517869649972,0.500183870793959,0.123269773387057,0.475398140398288,0.643039684392052,-0.535806950353489,-1.46114806079955,0.169660393218499,"FBgn0014343",0.492436395853523,0.389771194880499,0.51864775350584
"28",-3.28710189296279,0.333746447303589,1.32937914105087,0.208442988882383,0.191113088138453,0.761241819967513,0.46121098312969,-0.233741449180906,-0.658344092970678,0.522747542619619,"FBgn0003865",0.453500100383883,0.337642455705538,0.761620092821266
"31",1.60982311974936,0.0725593131529183,0.997784682811917,0.338079125514927,0.218018087999918,2.99803153213159,0.0111072537959394,-0.203102746775033,-1.97489708471026,0.0717410019079832,"FBgn0015247",0.455232534173345,0.0291281661488974,0.419821958696726
"33",-0.83537375558026,0.29037111910696,3.0904108891277,0.00935518935486294,0.614981859871906,6.54523301838455,2.74846449381877e-05,-0.355605600308645,-2.67618665716827,0.0201786853270824,"FBgn0042693",0.146367738631589,0.000401463010217917,0.277359789474118
"36",-0.0227335052746529,0.177696698927054,1.28583202047238,0.222760237942867,-0.554127691543196,-4.00972631184991,0.00173114100248562,-0.331275243499941,-1.69503574338137,0.115837543171609,"FBgn0034921",0.453500100383883,0.00766463570144826,0.472172209526421
"38",-2.24598572890552,0.228423109038331,1.12865055499853,0.281104332274054,0.13684695700705,0.676167987670409,0.511755930290923,0.063574553789888,0.222120060942013,0.827955752613898,"FBgn0031461",0.453500100383883,0.35231217654511,0.821758961477134
"40",0.00666861428842309,-0.0300861181932305,-0.342456880414094,0.737930702793906,0.0739906961269564,0.842203132107815,0.416144129056004,0.0979488201469096,0.788358855022847,0.445781911719135,"FBgn0015624",0.562444306634938,0.322068061508219,0.727486315559532
"41",-0.5533037419717,0.129105772645471,1.18537035624415,0.258814233086825,-0.362611822920967,-3.32928030177626,0.00600609671523401,0.0504266581688147,0.327381090649078,0.749020257876889,"FBgn0038632",0.453500100383883,0.0192261582909247,0.809424585127485
"42",1.48661591336335,-0.114434669540699,-0.930228738176924,0.370588697942102,-0.52043104062331,-4.23053531041087,0.00116688377550941,0.1357781904998,0.780453713287517,0.450245224507835,"FBgn0003169",0.455232534173345,0.00572390736890237,0.727486315559532
"44",1.47065117019156,0.0578213548074213,0.349200078498512,0.732990182706171,0.699821690039966,4.22642793325818,0.00117541806094119,-0.323678108992927,-1.38224300123357,0.192083696549811,"FBgn0000338",0.560533002949702,0.00572458646822499,0.547435526800773
"50",4.93588018478047,0.0432998397577599,0.321603566974822,0.753285875270057,0.140078303613735,1.04041221283933,0.318657554922423,-0.193884963137139,-1.01827175736603,0.328639999983856,"FBgn0002607",0.566846537941912,0.270912876083377,0.669735261199242
"54",1.54072588472793,-0.0769663180756934,-1.39992568945321,0.186854728388384,0.14206800403974,2.58404784686438,0.0239187560792534,-0.0361167240569242,-0.464512735124902,0.650595174191931,"FBgn0014006",0.448969884377136,0.0492708882661218,0.786926125184952
"61",-1.64774296334745,0.0389058230419565,0.457269322106496,0.655645412435939,0.0666512964443962,0.78336842044906,0.448596236288618,0.184668527421723,1.53474188932347,0.150781865899069,"FBgn0034421",0.538440637067298,0.33618322402045,0.503494735181681
