Symbol,FlyBase_ID,GENE_NAME,expression in Butler,negative control,Probes
fh,FBgn0030092,CG8971,moderate,,2
CG4645,FBgn0030435,CG4645,high,,2
CG11103,FBgn0030522,CG11103,moderate,,2
CG15057,FBgn0030908,CG15057,low,,2
CG17219,FBgn0031494,CG17219,moderate,,2
CG14939,FBgn0032378,CG14939,moderate-high,,2
CG14755,FBgn0033282,CG14755,low,,2
mRpS29,FBgn0034727,CG3633,high,,2
CG16971,FBgn0035114,CG16971,high,,2
CG10855,FBgn0035461,CG10855,low-moderate,,2
CG2702,FBgn0037540,CG2702,low-absent,,2
CG11755,FBgn0037611,CG11755,moderate,,2
CG14509,FBgn0039647,CG14509,low-absent,,2
CG31961,FBgn0051961,CG31961,moderate,,2
Lnk,FBgn0028717,CG17367,moderate-high,,2
gom,FBgn0029084,CG6727,low-absent,,2
mRpS25,FBgn0030572,CG14413,moderate-high,,2
CG8578,FBgn0030699,CG8578,moderate,,2
CG5004,FBgn0030820,CG5004,moderate,,2
CG11940,FBgn0031079,CG11940,moderate,,2
CG11601,FBgn0031244,CG11601,high,,2
CG8678,FBgn0032935,CG8678,low-absent,,2
CG17362,FBgn0036393,CG17362,moderate,,2
