gene,llr.sam,llr.ore,llr.diff,gc,size,empirical.p,empirical.p.sam,empirical.p.ore,empirical.q.sam,empirical.q.ore,empirical.q
FBgn0261614,0.00778033,0.0244028,0.01662247,0.432703112023,20469,0.278,0.468,0.363,0.997872806401797,0.997168459245821,0.998516850418328
FBgn0010341,0.00663792,0.00706532,0.0004274,0.475365362737,22854,0.708,0.476,0.453,0.99798553320474,0.997168459245821,0.998516850418328
FBgn0044511,0.00733933,0.00805802,0.000718690000000001,0.425939500562,20463,0.708,0.501,0.485,0.998558072487644,0.997168459245821,0.998516850418328
FBgn0024987,0.000584438,0.000847571,0.000263133,0.476218097448,24136,0.775,0.858,0.83,0.999263237104939,0.999132695756127,0.998516850418328
FBgn0038156,0.0499887,0.000102944,0.049885756,0.425165208073,33594,0.122,0.293,0.94,0.997872806401797,0.999491150442478,0.998516850418328
FBgn0030729,0.00015977,0.000265331,0.000105561,0.424220896088,21114,0.928,0.93,0.913,0.999263237104939,0.999491150442478,0.999306912442396
FBgn0003429,0.00169272,0.00157531,0.00011741,0.413500451277,68694,0.91,0.715,0.742,0.999263237104939,0.999132695756127,0.999306912442396
FBgn0053919,0.00500935,0.00500093,8.4200000000003e-06,0.438659918053,20745,0.978,0.555,0.533,0.998558072487644,0.997780642923219,0.999788439768263
FBgn0262735,1.09973,0.976162,0.123568,0.399767072134,54094,0.069,0.036,0.039,0.992682926829268,0.984784741144414,0.998516850418328
FBgn0034641,0.00155445,0.00146833,8.61200000000001e-05,0.473961491813,26384,0.885,0.752,0.75,0.999263237104939,0.999132695756127,0.999306912442396
FBgn0000394,0.00271451,0.00281684,0.00010233,0.462231462231,23088,0.911,0.677,0.683,0.998773974595171,0.998845986788526,0.999306912442396
FBgn0039528,0.194423,0.0480737,0.1463493,0.45523346172,29598,0.048,0.138,0.303,0.995301988178399,0.997168459245821,0.998516850418328
