"fbgn","symbol","chrom","start","stop","y","sig.tally","sig.expression.tally","sig.genotype.effect.tally","sig.interaction.effect.tally","dge.genotype.q","dge.interaction.q","illumina.genotype.pq","illumina.interaction.pq","dgrc.genotype.q","dgrc.interaction.q","min.deletion.q","min.deletion.interaction.q","binding.p","binding.interaction.p","max.bcshort.freq","inconsistent.expression.effects"
"FBgn0031872","ihog","2L",6945458,6948778,0.8,6,4,3,2,0.0366469039791452,0.027935940825835,0.345547103747367,0.299022992628426,0.0359430712081048,0.0464012237987656,5.44507960501422e-06,0.428526128472578,0.227,0.205,1,1
"FBgn0031904","CG5149","2L",7384486,7388248,0.6,6,1,2,1,0.0399223501108863,0.337885950910813,NA,NA,0.44386025366427,0.669741943817537,1.98242055734988e-10,0.00229259383590038,0.03,0.04,0.993243243243243,0
"FBgn0032135","GlcAT-S","2L",9616469,9623109,0.1,6,1,2,1,0.0423395202479382,NA,NA,NA,0.437307104451846,0.541785754880345,0.00522298236053859,0.0209593000412958,0.023,0.006,0.965986394557823,0
"FBgn0027600","obst-B","2L",10032694,10038954,0.9,6,3,3,2,9.56222407201342e-06,0.835895345886308,0.0408133940571352,0.0232933074235657,0.117056329735689,0.450778902977331,0.0329350028389964,5.47423462424081e-09,0.766,0.931,0.995515695067265,0
"FBgn0033519","CG11825","2R",6307919,6309413,0.1,6,1,2,1,0.0292479392004645,NA,NA,NA,0.464219612206744,0.610531924653635,6.89380977038157e-21,1.6110318582729e-06,0.042,0.014,0.728,0
"FBgn0005630","lola","2R",6369712,6430794,0.5,6,1,2,1,8.03565132643315e-06,0.5097595134484,0.269926371131683,0.302884596859166,0.0749588846977172,0.0964036180044096,6.89380977038157e-21,1.6110318582729e-06,0.016,0.005,0.8,0
"FBgn0003975","vg","2R",8771706,8786899,0.3,6,4,4,2,8.16674778394708e-23,NA,0.0230219528500033,0.0355588244031754,0.0328487151589378,0.141007036531668,2.05213217591823e-31,4.85421105614506e-12,0.806,0.667,0.410313901345291,0
"FBgn0035689","CG7376","3L",6167348,6171877,0.8,6,2,2,2,0.024110349488572,0.0016978528169417,NA,NA,0.197512342759617,0.318774239781279,5.04786844963495e-10,0.000419586149073003,0.029,0.008,0.0245901639344262,0
"FBgn0026252","msk","3L",8109278,8114681,0.4,6,4,3,3,0.00513653539342783,NA,0.00776489760021186,0.00227585999163665,0.464011075299529,0.0302460108419507,0.0079345598070796,8.7315179162489e-11,0.963,0.973,NA,1
"FBgn0261872","scaf6","3L",17029959,17035671,0.2,6,2,2,2,0.002597193738775,0.000221876506287543,NA,NA,NA,NA,3.05068177962231e-07,1.31313054870258e-05,0.032,0.043,0.5,0
"FBgn0261049","Vps45","3R",5389703,5391814,0.9,6,1,2,1,0.000837436423352158,NA,NA,NA,NA,NA,3.04361233683155e-06,0.000691151487547491,0.033,0.002,0.93,0
"FBgn0037721","CG9427","3R",5450875,5452187,0.3,6,3,3,2,8.79365661144356e-10,NA,0.0092133622701859,0.0227567042111871,0.238066223266067,0.685028853398271,3.04361233683155e-06,0.000691151487547491,0.37,0.354,0.922222222222222,0
"FBgn0005585","Crc","3R",5454660,5456607,0.5,6,1,2,1,0.00084960598416904,NA,NA,NA,0.0783006410867627,0.534309040020863,3.04361233683155e-06,7.4973706073482e-09,0.02,0.043,0.903765690376569,0
"FBgn0046225","CG17230","3R",7263507,7291360,0.9,6,1,2,1,0.00194794496482266,0.271191641449785,NA,NA,0.424829610943476,0.629990173497539,1.57232954186947e-05,5.90037326405717e-07,0.004,0.028,0.961538461538462,0
"FBgn0010389","htl","3R",13870936,13878706,0.9,6,2,1,2,0.000142927188124075,0.0040412196560089,NA,NA,0.577476182312135,0.417194367157529,0.114599434306626,0.0243768169400073,0.025,0.005,0.77906976744186,0
"FBgn0031458","aph-1","2L",2766235,2767154,0.5,5,2,2,2,0.268451275029713,NA,0.0419811769728897,0.0157366707026947,0.489940504006288,0.655065319615367,0.00459186710508867,0.0339897383457989,0.085,0.026,0.013215859030837,0
"FBgn0053196","dp","2L",4479471,4591963,0.7,5,3,2,1,0.023772334094615,1,0.502358312149696,0.0358873537913628,0.0189525340879912,0.537018819145208,NA,NA,0.033,0.011,0.153846153846154,1
"FBgn0003372","Sgs1","2L",4937409,4941424,0.8,5,1,1,1,0.00513653539342783,NA,NA,NA,0.422059680358422,0.74831220531733,0.133611794108904,5.02793207294688e-09,0.024,0.009,0.709302325581395,0
"FBgn0031716","CG14015","2L",5536850,5539169,0.9,5,0,1,1,NA,NA,NA,NA,0.591490188477427,0.419183157222037,0.000210756292892041,0.0234766800438327,0.031,0.017,0.984375,NA
"FBgn0014189","Hel25E","2L",5539326,5542310,0.1,5,2,3,1,0.00413788687710618,0.465253381622113,0.662293925687301,0.609178247059299,0.0494815054047841,0.729209098553451,0.000210756292892041,0.0234766800438327,0.062,0.07,0.984375,1
"FBgn0031722","CG14011","2L",5579580,5581116,0.2,5,0,1,1,1,NA,NA,NA,0.649486649232611,0.442306069709439,1.28718181988137e-07,0.00337893946714366,0.025,0.044,1,NA
"FBgn0040950","Muc26B","2L",6151971,6153701,0.9,5,2,2,2,1,NA,NA,NA,0.0353564486783156,0.00379558820946751,0.0010324308234163,0.00157838374174533,0.069,0.188,0.99290780141844,0
"FBgn0031896","CG4502","2L",7194908,7204259,0.4,5,1,2,1,1,NA,0.0195601511570855,0.0694434466084561,0.319154969505403,0.285098525473666,1.98242055734988e-10,0.0056749181533681,0.084,0.038,0.99016393442623,0
"FBgn0031897","CG13784","2L",7205250,7220029,0.5,5,0,1,1,0.573216705281624,NA,NA,NA,0.411035405791519,0.709575589587634,1.98242055734988e-10,0.0056749181533681,0.015,0.006,1,NA
