FBgn0261614,CG42703,2R,18988755,18989224
FBgn0010341,Cdc42,X,19591117,19593971
FBgn0044511,mRpS21,3R,9207051,9207514
FBgn0024987,ssx,X,1264581,1268717
FBgn0038156,CG14372,3R,9276312,9289906
FBgn0030729,CG12507,X,16159413,16160527
FBgn0003429,slo,3R,20488217,20536911
FBgn0053919,CG33919,2R,2511337,2512082
FBgn0262735,Imp,X,10682721,10716815
FBgn0034641,mahj,2R,17512543,17518927
FBgn0000394,cv,X,5584029,5587117
FBgn0039528,dsd,3R,23423483,23433081
FBgn0013809,Dhc16F,X,17958635,17972505
FBgn0003392,shi,X,15786149,15800285
FBgn0053493,CG33493,3L,10685915,10686235
FBgn0035868,CG7194,3L,8295464,8297159
FBgn0261536,CG42660,3L,7458609,7461908
FBgn0020556,bxd,3R,12567847,12598911
FBgn0261537,CG42661,3L,7458609,7461908
FBgn0261538,CG42662,2R,11586231,11589199
FBgn0005632,faf,3R,27602733,27616403
FBgn0259236,comm3,3L,15606284,15640837
FBgn0011211,blw,2R,18686561,18689685
FBgn0044452,Atg2,3L,2774379,2780688
FBgn0004047,Yp3,X,13653578,13655200
FBgn0039215,CG6695,3R,20480884,20485101
FBgn0032620,CG12288,2L,16900535,16902189
FBgn0259246,brp,2R,5391293,5424980
FBgn0030993,Mec2,X,19082068,19084226
FBgn0038087,beat-Va,3R,8667040,8674141
FBgn0000463,Dl,3R,15128453,15151935
FBgn0044872,FucTC,X,22410602,22412570
FBgn0051515,CG31515,3R,19214095,19214620
FBgn0037428,Osi18,3R,2155972,2157536
FBgn0012016,tRNA:Y1:22Fa,2L,2462593,2462686
FBgn0020496,CtBP,3R,8837388,8851905
FBgn0261394,Pros29,2R,16882372,16883616
FBgn0039595,AR-2,3R,24562831,24570485
FBgn0083991,CG34155,3R,26380276,26385921
FBgn0050080,CG30080,2R,11586231,11589199
FBgn0037624,CG8223,3R,4573528,4581638
FBgn0261706,CR42742,2R,18872908,18874062
FBgn0035533,Cip4,3L,4322616,4364120
FBgn0031100,CG1504,X,20181336,20186734
FBgn0038558,CG12347,3R,13732167,13733173
FBgn0040356,CG12498,X,2703914,2704879
FBgn0034972,CG10339,2R,19965757,19967999
FBgn0261262,CG42613,3R,14754918,14803810
FBgn0000535,eag,X,14849510,14899359
FBgn0053269,CG33269,3L,11574515,11575297
FBgn0037584,CG7963,3R,4188548,4189616
FBgn0086706,pix,3L,8965160,8967854
FBgn0243512,puc,3R,3931057,3948023
FBgn0250815,Jon65Aiv,3L,6032257,6033248
FBgn0039108,CG10232,3R,19545198,19546343
