"stock","p.deletion","p.background","p.interaction","chrom","start","stop","q.deletion","q.interaction","deletion.effect","background.effect","interaction.effect"
"23149",0.134891590131233,4.09401053690343e-22,0.386365432857564,"3L",22069193,22200952,0.109414428293553,0.242001373123346,-0.285714285714288,2.36134453781513,0.221988795518209
"23155",0.110643563813555,3.65185953332901e-16,0.357493285098088,"2L",15623842,15762767,0.0965194554806194,0.229903652789178,-0.428571428571433,2.36134453781513,-0.343487394957978
"23228",0.207955920441302,4.33943378793394e-34,0.397280908051797,"2R",1923128,2019615,0.141392688775316,0.245179744412738,-0.32093023255815,1.79519879969993,-0.245198799699914
"23666",0.151128609021212,4.11834760181267e-20,0.935100662132647,"2R",6012734,6350379,0.116068606591334,0.432262008693692,-0.285714285714282,2.36134453781512,-0.0280112044817972
"23678",0.461664895253755,1.97716917924022e-18,0.145759222544247,"2L",16025369,16251941,0.230179138414797,0.117309096237799,-0.160714285714281,2.36134453781512,-0.486344537815132
"23680",0.0011624278308746,1.33816917820117e-32,0.284689014160682,"2L",4031318,4455780,0.00251140527902886,0.196045393303514,0.61086956521739,2.46818663838812,-0.318186638388123
"23682",0.285194873506394,3.87675157624218e-22,0.215264105250727,"2R",5621779,5845625,0.16969377852401,0.158849019458711,-0.185714285714287,2.36134453781513,0.316433239962652
"23686",0.526777848607682,1.00206057577138e-19,0.907497691966636,"2R",5965797,6035409,0.252124444713522,0.425938389467156,-0.142857142857144,2.36134453781513,0.0342598577892705
"23689",0.220575673145032,5.34913129430483e-37,0.000439012620648408,"2R",9251638,9427394,0.146525411767333,0.000982411970946923,-0.199999999999999,2.51875,-0.76875
"23690",0.0664201295640729,5.89890432285104e-29,0.0233597319241295,"2R",9510513,9849106,0.0698777631945176,0.0275952088506785,-0.3125,2.34134615384615,-0.531822344322343
"23714",0.533097664038622,4.1316030861055e-17,0.788460160601583,"3R",10451095,10812133,0.253915448570549,0.38791733470857,0.169230769230777,2.46923076923077,-0.0914529914529993
