CG3338,CG3338-PA-1377,17,0
BCL7-like,BCL7-like-PA-123,2,8
CG6163,CG6163-PA-1096,0,1
CG17219,CG17219-PA-908,2,0
HLHm3,HLHm3-PA-142,0,5
SA,SA-PA-1264,1,0
CG3045,CG3045-PA-1362,0,19
CG32795,CG32795-PA-942,19,25
CG10672,CG10672-PA-382,12,7
fry,fry-PB-9289,1,4
GlyP,GlyP-PA-1686,20,14
Syx13,Syx13-PA-141,0,4
CG33639,CG33639-PA-853,2,0
CG8494,CG8494-PA-2039,0,26
CG6163,CG6163-PA-1079,0,2
CG31638,CG31638-PA-1071,9,0
l(1)G0289,l(1)G0289-PA-1068,0,1
CG9961,CG9961-PA-1023,1,0
alpha4GT1,alpha4GT1-PA-867,50,1
l(2)37Bb,l(2)37Bb-PA-1518,0,45
CG10005,CG10005-PA-312,0,7
Clect27,Clect27-PA-476,1,0
vir,vir-PA-5325,51,0
CG6308,CG6308-PA-560,0,115
Fak56D,Fak56D-PA-3072,10,7
Nmda1,Nmda1-PA-394,0,2
Esyt2,Esyt2-PA-1944,0,1
CG3065,CG3065-PA-723,4,0
CG7394,CG7394-PA-33,2,0
CG12375,CG12375-PA-459,0,4
CG9596,CG9596-PB-1185,2,7
CG18178,CG18178-PA-389,2,0
CG4389,CG4389-PA-2278,8,6
bbx,bbx-PB-1707,3,5
CG31759,CG31759-PC-1654,12,15
dom,dom-PA-4986,6,1
CG31918,CG31918-PA-453,0,13
PCID2,PCID2-PA-849,0,1
CG3662,CG3662-PA-856,3,0
CG18011,CG18011-PA-2386,1,0
Tsp42Ei,Tsp42Ei-PA-600,0,2
kon,kon-PB-834,0,2
CG3860,CG3860-PA-138,2,1
Aats-cys,Aats-cys-PA-1486,9,0
CG14964,CG14964-PB-1762,1,0
CG1140,CG1140-PA-919,1,0
CG7183,CG7183-PA-1318,1,0
CG42669,CG42669-PE-3639,14,5
imd,imd-PA-774,72,58
klu,klu-PA-2307,1,0
Nup107,Nup107-PA-1335,4,7
CG10638,CG10638-PA-89,6,24
RpL5,RpL5-PA-204,2,0
Dip-C,Dip-C-PA-1446,0,34
RpL13,RpL13-PB-282,0,1
CG9864,CG9864-PA-1071,1,0
Fdxh,Fdxh-PA-107,0,1
uif,uif-PA-2896,1,0
CG6129,CG6129-PD-2763,81,0
CG3500,CG3500-PA-379,1,0
mRpL32,mRpL32-PA-440,0,7
Gr64d,Gr64d-PA-48,0,1
CG9515,CG9515-PA-324,5,13
CG1578,CG1578-PA-1981,0,31
CG34391,CG34391-PB-355,0,3
vito,vito-PA-435,74,53
RpI135,RpI135-PA-2090,0,1
CG32533,CG32533-PA-2751,47,0
CG13792,CG13792-PA-2028,2,0
aft,aft-PA-2037,31,42
CG15634,CG15634-PA-197,5,0
Smyd4,Smyd4-PA-1827,0,1
l(2)k05819,l(2)k05819-PA-2988,0,2
CG34126,CG34126-PB-2179,0,1
CG9231,CG9231-PA-30,7,0
CG32982,CG32982-PA-6,0,1
yl,yl-PA-540,1,0
CG42630,CG42630-PA-78,1,0
CG33465,CG33465-PC-100,7,0
Dscam,Dscam-PA-5724,2,0
Try29F,Try29F-PC-612,3,1
CG14322,CG14322-PA-3750,14,14
CG10413,CG10413-PA-2518,1,2
CG15766,CG15766-PA-385,1,0
CTPsyn,CTPsyn-PA-481,0,1
CG9328,CG9328-PA-328,2,1
CG9416,CG9416-PA-743,0,1
CG12539,CG12539-PA-1695,2,0
rtv,rtv-PA-408,170,0
CTPsyn,CTPsyn-PB-938,2,0
CG7759,CG7759-PA-887,2,0
CG3967,CG3967-PA-1264,0,2
NTPase,NTPase-PA-1218,4,0
CG42780,CG42780-PA-705,1,0
CG33138,CG33138-PA-1713,39,14
mtSSB,mtSSB-PA-18,7,0
CG31648,CG31648-PA-626,0,3
CG31915,CG31915-PA-640,1,0
Tis11,Tis11-PA-1069,4,1
CG13506,CG13506-PA-372,3,0
RhoGEF4,RhoGEF4-PA-1751,1,2
Mfap1,Mfap1-PA-369,1,0
Dys,Dys-PA-2715,0,2
zip,zip-PA-4185,0,6
CG6225,CG6225-PA-435,2,0
Aats-glupro,Aats-glupro-PA-1413,8,1
CG32699,CG32699-PA-381,3,0
CG34424,CG34424-PA-541,0,1
RhoGAP15B,RhoGAP15B-PB-3761,0,4
Aats-met,Aats-met-PA-856,1,1
CG4407,CG4407-PA-453,2,2
MED16,MED16-PA-720,0,2
CG18178,CG18178-PA-698,0,1
wts,wts-PA-3081,4,0
CG3280,CG3280-PC-5771,3,0
Oatp58Dc,Oatp58Dc-PA-1764,0,1
CG7110,CG7110-PB-1904,1,1
Taf11,Taf11-PA-391,8,4
yellow-b,yellow-b-PA-1015,1,0
mRpS22,mRpS22-PA-732,0,1
CG13204,CG13204-PA-1785,28,19
CG34104,CG34104-PA-253,9,5
CG18428,CG18428-PA-145,1,0
Cpr11A,Cpr11A-PA-168,2,0
D19B,D19B-PA-901,0,1
La,La-PA-1062,7,11
Pka-R1,Pka-R1-PAA-441,2,1
Pdsw,Pdsw-PA-436,0,138
Brd8,Brd8-PA-1002,1,0
TppII,TppII-PA-2199,28,0
